Find,Replace,Comments
אַ מאָל,אַמאָל,
איך טױשט,איך טױש,
טױשט איך,טױש איך,
טױשטעם,טױשטן,
שכנ'ה,שכנה,
שכנהס,שכנה'ס,
ישׂראל'יג,ישׂראל'יק,
שמואל'יג,שמואל'יק,
ייִװאָ,ײװאָ,
נישטיק,נישטיג,
סאַך־הכּל,סך־הכּל,
אַסך,אַ סך,
קלײניגקײט,קלײניקײט,"these may be equally common spellings in HY; but on basis of *kleynik, I am not correcting kleynikeyt to have a giml"
רואיק,רואיג,
שנייאיק,שנייאיג,
עפּליך,עפּלעך,
עפּעליך,עפּעלעך,
עוף'ליך,עוף'לעך,
עוף'עליך,עוף'עלעך,
\bשליכט,שלעכט,
\bגעשליכט,געשלעכט,
נ',ן',
מ' ,מ',
ס' ,ס',
רעש'טליך,רעשטלעך,
רעש'טל,רעשטל,
\bשיג\b,שיק,
\bשיגט\b,שיקט,
\bשיגסט\b,שיקסט,
\bשיגן\b,שיקן,
\bשטיג\b,שטיק,
\bשטיגער\b,שטיקער,
\bשטיגסט\b,שטיקסט,
\bשטיגט\b,שטיקט,
\bשטיגן זיך\b,שטיקן זיך,
\bזיך שטיגן\b,זיך שטיקן,
\bפּיגן\b,פּיקן,
\bגעפּיגט\b,געפּיקט,
\bדיגער\b,דיגער,
\bדיגע\b,דיגע,
\bדיגן\b,דיקן,
\bבליכן\b,בלעכן,
\bאַנטיגן\b,אַנטיקן,
אותיות'ליך,אותיות'לעך,
חזירימ'ליך,חזירים'לעך,
